Código Plan,Carrera,Cohorte,Número de alumno,Bloqueo,Causal Bloqueo,RUN,DV,Nombres,Unnamed: 9,Primer Apellido,Segundo Apellido,Logro,Fecha Logro,Última Carga
HW2,Magia,2016-01,627715,N,Sin Bloqueo,10772324,7,SANDRITH,SELENE,ANTIQUERA,LAMUR,INGRESO,2016-01,2016-02
HP1,Magia,1992-01,468415,S,BLOQUEO POR NO INSCRIPCION,19605734,6,LEON,AYLINEE,ALCAZAR,YEVENES,INGRESO,1992-01,1996-02
HP1,Magia,1995-01,577903,S,ALUMNO EGRESADO,12542612,K,RAÚL,GUILLERMO,MARINZULICH,CARIAGA,QUINTO AÑO- EGRESO,1999-02,1999-02
PH2,Magia,2006-01,424069,S,ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - SOBREPASO EL N° DE OPORTUNIDADES PARA SUPERAR ASIGNATURAS,22131060,2,AMARA,DEFATIMA,QUINTUPURAI,MARKOVIC,INGRESO,2006-01,2006-02
HP1,Magia,1995-01,455880,S,BLOQUEO POR NO INSCRIPCION,24727623,0,OSMAR,JOE,PANTOJA,DE CASO,INGRESO,1995-01,2001-01
HP1,Magia,2001-01,529129,S,ALUMNO EGRESADO,20924173,2,AMAN,ANABELLE,HUENCHUÑAN,CHICA,SEGUNDO AÑO,2004-01,2007-02
HP1,Magia,1998-01,631467,S,BLOQUEO POR NO INSCRIPCION,24043902,0,GICELLE,VASCO,AVACA,FONTECILLA,INGRESO,1998-01,1998-02
HP1,Magia,1991-01,400557,S,BLOQUEO POR NO INSCRIPCION,23273877,5,EDSON,ERICK,LUVECCE,JAURE,INGRESO,1991-01,1996-02
GH1,Magia,2005-01,503076,S,ALUMNO LICENCIADO,20918720,6,YARET,GUILLERM,TUTELEERS,PALACIOS,QUINTO AÑO - EGRESO,2008-01,2008-01
HW2,Magia,2010-01,422491,S,ALUMNO CON DEUDA MOROSA,7136192,1,RAQUEL,DELIA,GANDARA,MIRALLES,INGRESO,2010-01,2010-01
HP1,Magia,1997-01,615471,S,ALUMNO EGRESADO,8936867,9,IRIS,PASCALE,ARISMENDI,OTÁROLA,INGRESO,1997-01,2001-02
HW1,Magia,2002-01,474036,S,BLOQUEO POR NO INSCRIPCION,17364732,K,LEO,AVRIL,FAUNDEZ,PEYRESBLANQUES,SEGUNDO AÑO,2003-01,2005-01
PH2,Magia,2005-01,386006,N,Sin Bloqueo,11229314,2,EMMANUEL,KEVINN,NOLI,LABRA,2 SEMESTRE,2006-02,2007-02
HP1,Magia,1996-01,609684,S,BLOQUEO POR NO INSCRIPCION,9964438,3,CHRIS,AYLLEEN,VARELA,LLARAS,INGRESO,1996-01,1999-01
HP1,Magia,2000-01,504417,S,ALUMNO EGRESADO,12495464,7,ROSA,YULY,CALLUPAN,FRANETOVIC,SEGUNDO AÑO,2002-01,2004-01
HP1,Magia,1990-01,502645,S,BLOQUEO POR NO INSCRIPCION,23608677,9,RUBIDY,GIGI,BASÁEZ,FRANCESCHINI,INGRESO,1990-01,1996-02
HP1,Magia,1989-01,564668,S,ALUMNO CON DEUDA MOROSA,19332641,5,JASMINA,DEMETRI,SARRET,GANA,INGRESO,1989-01,2000-01
HP1,Magia,1993-01,495339,S,ALUMNO EGRESADO,4681616,0,MURIEL,VIVIANA,GERALDO,TOBAR,INGRESO,1993-01,2002-02
HP1,Magia,1997-01,439456,S,BLOQUEO POR NO INSCRIPCION,22018398,4,MAYKOL,AUDOLINA,VIDELA,FELIU,INGRESO,1997-01,1998-02
HP1,Magia,1992-01,467417,S,BLOQUEO POR NO INSCRIPCION,23943872,6,HAYLIN,NEHEMÍAS,MELIPIL,APPOLON,INGRESO,1992-01,1996-02
HP1,Magia,1997-01,507585,S,BLOQUEO POR NO INSCRIPCION,9010456,2,YARELA,MINERVA,JOFRÉ,HURTADO,INGRESO,1997-01,1999-01
HP1,Magia,1995-01,513986,S,BLOQUEO POR NO INSCRIPCION,14636269,2,ALEXIA,FABIO,COLLIO,STURLA,INGRESO,1995-01,1996-01
HP1,Magia,2000-01,489396,S,BLOQUEO POR NO INSCRIPCION,5497626,6,ANAKAREN,FARA,SEQUEIDA,OPAZO,INGRESO,2000-01,2003-01
HP1,Magia,1998-01,414444,S,BLOQUEO POR NO INSCRIPCION,11186193,1,KINKA,MARILYN,URIOSTE,SMITH,INGRESO,1998-01,1999-01
HP1,Magia,1992-01,415462,S,ALUMNO EGRESADO,25157134,7,ISAIA,NISET,GANTER,VALLE,INGRESO,1992-01,1997-02
HP1,Magia,1993-01,571289,S,ALUMNO EGRESADO,20622509,1,PIROZKA,CHRISTINA,ABARCIA,HANSEN,INGRESO,1993-01,1999-02
HP1,Magia,1989-01,523830,S,ALUMNO EGRESADO,12363357,5,MALVINA,VAI-TIARE,MUÑOZ,BONILLA,QUINTO AÑO- EGRESO,1993-02,1994-01
GH1,Magia,2003-01,466020,S,ALUMNO EGRESADO,7428816,8,CESÁR,MINORU,IRIBARREN,TÉLLEZ,QUINTO AÑO - EGRESO,2009-02,2009-02
HP1,Magia,1994-01,434987,S,ALUMNO EGRESADO,17985571,3,THANIA,ADAMS,FAIRLIE,LJUBETICH,CUARTO AÑO,2001-01,2001-01
HP1,Magia,1992-01,453384,S,BLOQUEO POR NO INSCRIPCION,21886747,8,BOLIVAR,BETSSY,FECCI,CARRION,INGRESO,1992-01,1996-02
HW1,Magia,2000-01,432215,S,BLOQUEO POR NO INSCRIPCION,13174925,1,ADELCHI,ISEHIMY,CORONEL,PANEZ,INGRESO,2000-01,2000-02
PH2,Magia,2006-01,514207,S,ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - SOBREPASO EL N° DE OPORTUNIDADES PARA SUPERAR ASIGNATURAS,23671604,7,MARLY,ALIDA,BARTHOLIN,BERRÍOS,INGRESO,2010-01,2010-02
HP1,Magia,1999-01,398084,S,BLOQUEO POR NO INSCRIPCION,15622037,8,WALERIANNY,ELOISA,LAM,LAZO,INGRESO,1999-01,1999-02
GH3,Magia,2008-01,469061,N,Sin Bloqueo,23954034,K,GISLAHINE,NISSE,SAN MARTÍN,HEREDIA,INGRESO,2008-01,2019-02
HP1,Magia,1994-01,461198,S,ALUMNO EGRESADO,8358723,7,LEONOR,ALBÁN,MULLER,CAPRILES,INGRESO,1994-01,2001-02
HP1,Magia,2000-01,448425,S,ALUMNO EGRESADO,6321964,5,NICOLLE,BOLIVAR,FUENTE-ALBA,BAETTIG,SEGUNDO AÑO,2002-01,2005-02
HW2,Magia,2006-01,396214,N,Sin Bloqueo,12759894,2,SOMALI,GUIANFRANCC,DISI,BRUNET,LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES,2019-02,2019-02
HP1,Magia,1987-01,390760,N,Sin Bloqueo,24324455,4,GHISLAINE,SON,GASPAR,BRUNA,INGRESO,1987-01,1992-01
HP1,Magia,1995-01,580953,S,BLOQUEO POR NO INSCRIPCION,10426934,0,DANTER,ESTEPHANY,FARÍAS,PALOMINOS,PRIMER AÑO,1998-01,1999-01
HP1,Magia,1989-01,483786,S,ALUMNO LICENCIADO,4307540,9,INGEBORG,BASTIAN,NARVAEZ,MORAN,QUINTO AÑO- EGRESO,1994-02,1994-02
HP1,Magia,1991-01,485603,S,BLOQUEO POR NO INSCRIPCION,16533780,4,PARIS,MASSIEL,JELDRES,BELTRAN,INGRESO,1991-01,1997-01
HP1,Magia,1992-01,520444,S,CAMBIO DE PLAN O CARRERA,8564858,1,NOLBERTO,CORINA,SAA,HERMOSILLA,CUARTO AÑO,2001-01,2002-01
HW1,Magia,1992-01,638592,N,Sin Bloqueo,4768734,1,KAROLAY,SINDY,WIEHOFF,NICHOLLS,QUINTO AÑO - EGRESO,2004-01,2004-01
HP1,Magia,1996-01,643638,S,BLOQUEO POR NO INSCRIPCION,8231362,4,MARCIAL,RAMSES,BUDIL,VILO,INGRESO,1996-01,1998-01
HP1,Magia,1995-01,379836,S,BLOQUEO POR NO INSCRIPCION,10686730,6,MELANY,RODOLFO,DEVIA,CARRERAS,INGRESO,1995-01,2001-01
HP1,Magia,1991-01,529546,S,BLOQUEO POR NO INSCRIPCION,18667987,2,ALICIA,ALEJA,BASCUR,ROVANO,INGRESO,1991-01,1996-01
HP1,Magia,1994-01,372063,S,ALUMNO EGRESADO,17339472,2,THALIA,ZITNI,DEL PINO,CHICIOADA,INGRESO,1994-01,1999-01
HP1,Magia,2002-01,442921,S,CAMBIO DE PLAN O CARRERA,8886239,1,ERICKA,GEORGEANA,GARCES,SAAVEDRA,SEGUNDO AÑO,2004-01,2007-01
HW1,Magia,2002-01,629785,N,Sin Bloqueo,11910103,1,HILEN,YAMILETT,FISHER,LINFORD,QUINTO AÑO - EGRESO,2008-01,2008-01
HP1,Magia,1999-01,440083,S,BLOQUEO POR NO INSCRIPCION,20015997,9,ABDÓN,KATYA,NARVAEZ,MENANTEAUX,PRIMER AÑO,1999-02,2000-01
HP1,Magia,1992-01,379426,S,ALUMNO EGRESADO,13844826,7,VIARLY,FABIO,GALVAO,PAULOS,QUINTO AÑO- EGRESO,1998-02,1998-02
HP1,Magia,1992-01,555491,S,ALUMNO EGRESADO,10610106,6,OTONIEL,MERI,CURÍN,VILLA,INGRESO,1992-01,1997-01
HW2,Magia,2007-01,441478,S,ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO,22871117,5,EDMUNDO,CAMILO,SERMINI,ESCOBAR,2 SEMESTRE,2007-02,2012-02
HW2,Magia,2006-01,611336,S,ALUMNO LICENCIADO,13488460,0,AYLEEN,CYNDY,RONDA,CASAS-CORDERO,LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES,2011-02,2011-02
HP1,Magia,1996-01,421781,S,ALUMNO EGRESADO,13984348,6,SALOMÉ,CRISTIAN,MANSO,JULIA,QUINTO AÑO- EGRESO,2001-01,2001-01
HW2,Magia,2009-01,631092,S,ALUMNO CON DEUDA MOROSA,22848322,0,LIZANDRO,FÉLIX,BILBENY,ESPÍNOLA,1 SEMESTRE,2010-02,2011-01
HW2,Magia,2012-01,466148,S,BLOQUEO POR NO INSCRIPCION,16800004,2,EDSON,GEORGINA,VILLAR,JURICIC,INGRESO,2012-01,
HP2,Magia,2011-01,367472,S,BLOQUEO POR NO INSCRIPCION,25811978,0,REBECA,VIANKA,VALLADARES,ROSSE,10 SEMESTRE - EGRESO,2016-01,2016-01
HP1,Magia,1994-01,652079,S,ALUMNO EGRESADO,6137124,1,NÉSTOR,DAMALI,FAUNDEZ,GANDARA,INGRESO,1994-01,1999-01
HP1,Magia,1989-01,464815,S,BLOQUEO POR NO INSCRIPCION,24984453,K,CELSO,LUZPAZ,CASTILLA,ANTIHUENO,SEGUNDO AÑO,1992-01,1994-01
HP1,Magia,1992-01,542439,S,BLOQUEO POR NO INSCRIPCION,25061480,8,YENNY,CAMELIA,HUENCHUÑAN,SOTO,INGRESO,1992-01,1997-02
HP1,Magia,1991-01,410578,S,BLOQUEO POR NO INSCRIPCION,11921743,3,NASSER,ESTEPHANIA,MAURER,CERENIC,INGRESO,1991-01,1997-02
HW2,Magia,2022-01,531335,N,Sin Bloqueo,19023079,1,ASTRID,EDDIE,HUILIPAN,PASCUAL,3 SEMESTRE,2023-02,2024-02
HW2,Magia,2023-01,589372,N,Sin Bloqueo,20473654,1,MILICENT,WLADIMIR,BRAGADO,TORAN,1 SEMESTRE,2023-01,2023-02
HP1,Magia,2003-01,556644,S,ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO,5759025,6,LUISIN,EUGENI,CHINGA,ÁVILA,INGRESO,2004-01,2004-01
HW1,Magia,2003-01,527130,S,CAMBIO DE PLAN O CARRERA,13524060,6,LUCIANO,KEPLER,ARAMBURU,GONZALEZ,INGRESO,2003-01,2003-02
HP1,Magia,1992-01,628378,S,ALUMNO EGRESADO,4319997,9,RAMÓN,MAIKEL,FABREGA,RENGIFO,INGRESO,1992-01,2000-01
HP1,Magia,1998-01,365240,S,ALUMNO EGRESADO,4471416,8,TAMAR,ELIANETTE,FRES,CROVETTO,CUARTO AÑO,2002-01,2003-01
HP1,Magia,1997-01,567500,S,BLOQUEO POR NO INSCRIPCION,14346023,0,FARA,JULIETTE,OBRIEN,LAUBREAUX,INGRESO,1997-01,1998-01
HW2,Magia,2006-01,419272,S,ALUMNO CON DEUDA MOROSA,12334118,2,SAUL,MADIAN,LAISELLE,RAVENNA,INGRESO,2006-01,2006-01
HP1,Magia,1992-01,645419,S,ALUMNO EGRESADO,25527708,6,SOLANGE,ORIEL,SCHILLING,LANDEROS,INGRESO,1992-01,1997-01
HW2,Magia,2005-02,468185,S,ALUMNO CON DEUDA MOROSA,11489556,8,GERARDO,MAURICIO,ANGUITA,OTAROLA,7 SEMESTRE,2010-01,2010-01
HP1,Magia,1997-01,648598,S,BLOQUEO POR NO INSCRIPCION,4276832,3,AUREL,JARIEL,VILLAMAN,MENAS,INGRESO,1997-01,1997-01
HW1,Magia,2000-01,387022,S,CAMBIO DE PLAN O CARRERA,11028998,3,MARIELLY,MYRIAM,MARCEL,VARGAS,INGRESO,2000-01,2000-02
HW2,Magia,2017-01,633829,S,ALUMNO CON DEUDA MOROSA,24721873,7,JUDITH,VIANNEY,RABELO,OROZ,INGRESO,2017-01,
HP1,Magia,1993-01,641342,S,BLOQUEO POR NO INSCRIPCION,23562799,7,ANDRÉS,ITZIAR,LANAS,DE TORO,INGRESO,1993-01,1998-02
HP1,Magia,1991-01,581675,S,BLOQUEO POR NO INSCRIPCION,12463179,8,MITZI,ELIZABETH,VUKASOVIC,OROZ,INGRESO,1991-01,1996-02
HP2,Magia,2008-01,378447,N,Sin Bloqueo,12500463,4,ESMERITA,ORSON,VILLANUEVA,TILLERIAS,10 SEMESTRE - EGRESO,2015-01,2015-01
HP1,Magia,1992-01,386521,S,BLOQUEO POR NO INSCRIPCION,16813184,6,ERICKA,ANTHUARD,GÁLVEZ,PIRAINO,INGRESO,1992-01,1997-01
HP1,Magia,1994-01,492114,S,BLOQUEO POR NO INSCRIPCION,19832174,4,LEONIDAS,ELEINNE,TRONCOSO,ZAGAL,INGRESO,1994-01,1997-01
HP1,Magia,1994-01,636015,S,BLOQUEO POR NO INSCRIPCION,25235334,8,MAIKA,KERENA,ALACID,CABEDO,INGRESO,1994-01,1996-01
HP1,Magia,2000-01,551322,S,CAMBIO DE PLAN O CARRERA,12526861,7,TOMÁS,NAHUEL,CARRIMÁN,LETELIER,INGRESO,2000-01,2000-02
HW1,Magia,2000-01,576219,S,ALUMNO EGRESADO,5026794,7,LEBBY,MERICIA,MEJÍA,DUNSTAN,QUINTO AÑO - EGRESO,2004-01,2004-01
HP1,Magia,1991-01,488671,S,BLOQUEO POR NO INSCRIPCION,21583725,9,YASTIN,TRINIDAD,ESCOBEDO,LONCOMILLA,INGRESO,1991-01,1997-02
HW1,Magia,2005-01,592682,S,ALUMNO CON DEUDA MOROSA,11759710,6,NAZIR,SANTI,TOSSO,HERBORN,INGRESO,2005-01,2005-01
HW2,Magia,2005-01,435926,S,ALUMNO LICENCIADO,15042884,6,ARCHIVALDO,YAMILET,COLIHUINCA,FELIU,LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES,2017-02,2017-02
HW1,Magia,2000-01,387241,S,BLOQUEO POR NO INSCRIPCION,11666595,5,VALENTÍN,ALONDRA,VALLEJO,MATZNER,INGRESO,2000-01,2000-02
HW2,Magia,2012-01,449037,S,BLOQUEO POR NO INSCRIPCION,12410275,1,ALECSANDER,JULIANA,DENEGRI,TAVRYTZKY,2 SEMESTRE,2015-01,2015-01
GH1,Magia,2003-01,442060,S,SUSPENSION DE ESTUDIOS,13779546,6,NÁYADET,ELEINNE,AREVALO,ARMETTA,INGRESO,2003-01,
PH2,Magia,2014-01,435288,S,ALUMNO CON DEUDA MOROSA,25754177,7,YASNNA,MANLIO,VALLETTA,SIGALA,INGRESO,2014-01,2014-02
HW1,Magia,2003-01,612199,S,ALUMNO CON DEUDA MOROSA,12300243,9,SCARLYN,RONINIE,HIRCASH,UTRERA,INGRESO,2003-01,2004-02
HW2,Magia,2009-01,369124,S,BLOQUEO POR NO INSCRIPCION,22059955,0,DIGNA,PILAR,PRANAO,MOREIRA,2 SEMESTRE,2011-02,2011-02
HP1,Magia,1988-01,446590,S,ALUMNO CON DEUDA MOROSA,4489514,8,BETSSY,ILICH,VINALES,ORMAZÁBAL,QUINTO AÑO- EGRESO,1998-01,1998-01
HW1,Magia,2002-01,392015,S,BLOQUEO POR NO INSCRIPCION,12732855,5,MAO,GINO,BAGHETTI,SANTILLANA,INGRESO,2002-01,2002-01
HW2,Magia,2006-01,371340,N,Sin Bloqueo,22756207,7,JESABEL,MILENE,ELFAR,VILLEGAS,10 SEMESTRE - EGRESO,2011-01,2011-01
PH2,Magia,2005-01,582007,S,SUSPENSION DE ESTUDIOS,9946269,3,JASON,LEONARDO,GALLEGUILLOS,CALBUYAHUE,INGRESO,2005-01,
HW2,Magia,2009-01,501245,N,Sin Bloqueo,14717097,6,ILICH,NIELSEN,BILICIC,MARINZULICH,INGRESO,2009-01,2009-01
HP1,Magia,1995-01,608951,S,ALUMNO EGRESADO,14324037,2,FLORENCIO,DELALUZ,OTÁROLA,FROSCHKE,INGRESO,1995-01,1999-02
HW2,Magia,2010-02,584642,S,ALUMNO CON DEUDA MOROSA,9761171,2,ANTIL,MARIELLY,CARRERA,CARRIMÁN,INGRESO,2010-02,2010-02
HW2,Magia,2005-01,619096,S,ALUMNO CON DEUDA MOROSA,10024339,5,HUBERT,IVANNA,DUPOUY,MELLA,4 SEMESTRE,2007-01,2007-02
HW2,Magia,2011-01,508840,N,Sin Bloqueo,14140460,5,M.IGNACIA,SILVIA,LICANQUEO,URRUTIA,LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES,2018-02,2018-02
HP1,Magia,1988-01,550870,S,BLOQUEO POR NO INSCRIPCION,17538055,6,REYNALDO,SELENNE,PABLICH,BARJA,INGRESO,1988-01,1999-01
HW1,Magia,2001-01,374158,S,BLOQUEO POR NO INSCRIPCION,13239278,4,MIRSA,FERMIN,REID,DUNSTAN,INGRESO,2001-01,2001-02
HP1,Magia,1987-01,398773,S,ALUMNO EGRESADO,13366317,K,VILMA,EDMUNDO,LORCA,CONSTENLA,SEGUNDO AÑO,1989-01,1994-02
HP1,Magia,1995-01,614885,S,BLOQUEO POR NO INSCRIPCION,18221722,K,NIKITA,AGUSTIN,ELICES,CABIESES,INGRESO,1995-01,1996-02
HW1,Magia,2002-01,568200,S,ALUMNO EGRESADO,17565686,K,CONSUELO,ORNELLA,CURIHUIL,LARENAS,QUINTO AÑO - EGRESO,2007-02,2007-02
HW2,Magia,2006-01,618232,S,SUSPENSION DE ESTUDIOS,16658896,K,BÁSTIAN,RUBI,DE FERRARI,FURLANETTO,INGRESO,2006-01,
GH3,Magia,2008-01,446065,N,Sin Bloqueo,5458682,2,MATILDE,ANGELLO,ARANDA,DENIS,INGRESO,2008-01,2010-02
HW1,Magia,2001-01,610182,S,BLOQUEO POR NO INSCRIPCION,19563725,3,AUREL,KATHRYNNA,CAVADA,RICCARDI,INGRESO,2001-01,2001-02
HW2,Magia,2006-01,424371,S,ALUMNO CON DEUDA MOROSA,10870898,0,OLAYA,AMARIE,GATICA,CHAPPUZEAU,2 SEMESTRE,2006-02,2007-01
HW1,Magia,2001-01,464287,N,Sin Bloqueo,22845579,7,JULIA,KARECZA,VALDENEGRO,SALVO,QUINTO AÑO - EGRESO,2007-01,2007-01
HP1,Magia,1989-01,572823,S,ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - SOBREPASO EL N° DE OPORTUNIDADES PARA SUPERAR ASIGNATURAS,20173350,7,ANAYS,YARISKA,BAUER,SENA,INGRESO,1989-01,1994-01
PH2,Magia,2014-01,549297,S,SUSPENSION DE ESTUDIOS,17963380,3,MURIEL,NAYRA,AVILÉS,SHERTZER,INGRESO,2014-01,
HP1,Magia,1986-01,649756,S,CAMBIO DE PLAN O CARRERA,5166997,8,OLGA,COSME,JABRE,UTRERA,INGRESO,1986-01,1992-01
HP2,Magia,1986-01,585970,S,ALUMNO EGRESADO,8633332,8,YOSELYN,SARASOFÍA,FÁBREGA,ASTORGA,10 SEMESTRE - EGRESO,2011-01,2011-01
HP1,Magia,1986-01,510825,S,BLOQUEO POR NO INSCRIPCION,19425038,4,ALEJA,MAYEN,JAURE,GARRIGA,QUINTO AÑO- EGRESO,1994-01,1994-01
HP1,Magia,1986-01,634463,S,ALUMNO LICENCIADO,9643883,0,MAYVELLINE,HELMIS,BASCUR,ARMETTA,QUINTO AÑO- EGRESO,2000-01,2000-01
HP1,Magia,1988-01,521791,S,ALUMNO EGRESADO,19950609,9,GIGLIOLA,VAITIARE,YÁÑEZ,YEBER,SEGUNDO AÑO,1991-01,1993-02
HW2,Magia,2006-01,594328,S,ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - SOBREPASO EL N° DE OPORTUNIDADES PARA SUPERAR ASIGNATURAS,5235768,4,MARSELLA,LIBERTAD,NAVEAS,MONTIVERO,6 SEMESTRE - BACHILLER,2010-02,2010-02
HW1,Magia,2000-01,397258,S,ALUMNO LICENCIADO,15172406,2,KERRY,YANIRA,ABDALE,MARTIS,QUINTO AÑO - EGRESO,2006-02,2006-02
HP1,Magia,1991-01,409601,S,BLOQUEO POR NO INSCRIPCION,18045746,3,DENISE,KLER,CANTILLANA,URRA,INGRESO,1991-01,1997-01
HP1,Magia,1991-01,518573,S,ALUMNO EGRESADO,21693825,9,OBRIEL,GREGORY,LEPIN,LEYTON,QUINTO AÑO- EGRESO,1996-01,1996-01
HP1,Magia,1988-01,596787,S,BLOQUEO POR NO INSCRIPCION,15325048,6,EXEQUIEL,GIORGIO,ECK,RIGUERO,INGRESO,1988-01,1994-02
HW1,Magia,2000-01,528252,S,BLOQUEO POR NO INSCRIPCION,6121583,8,YULIANA,MIXALIS,PANIAGUA,BAETTIG,INGRESO,2000-01,2000-02
HW1,Magia,2002-01,471026,S,ALUMNO EGRESADO,20225444,7,MAIRA,HAROLDO,FERRAN,ARMIJO,QUINTO AÑO - EGRESO,2006-02,2006-02
HW2,Magia,2010-01,579603,S,SUSPENSION DE ESTUDIOS,8764957,6,YERALDIN,IRIS,ESPINOZA,MAULEN,INGRESO,2010-01,
HP1,Magia,1988-01,472796,S,ALUMNO EGRESADO,6355494,5,ABDON,KRYSTAL,TORREALBA,ARAMAYO,CUARTO AÑO,1991-01,1993-01
HP1,Magia,1996-01,555617,S,BLOQUEO POR NO INSCRIPCION,17779740,2,SUILAN,CRISTÓBAL,GRANADA,WADDINGTON,INGRESO,1996-01,1998-02
GH3,Magia,2006-01,503026,S,CAMBIO DE PLAN O CARRERA,13227368,4,LEONOR,ALMA,CLIFF,MOYA,INGRESO,2006-01,2012-02
PH2,Magia,2006-01,401270,N,Sin Bloqueo,25827857,4,RICHARDS,KARECZA,.,FLOR,LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES,2019-02,2019-02
HW2,Magia,2005-01,550059,S,BLOQUEO POR NO INSCRIPCION,13776259,K,GIANCARLO,RAMSES,MENDEL,URRELO,4 SEMESTRE,2007-01,2007-01
HP1,Magia,1991-01,645674,S,BLOQUEO POR NO INSCRIPCION,5102398,8,LENIN,COSME,GALATZAN,GOÑI,INGRESO,1991-01,1998-01
GH3,Magia,2009-01,522102,N,Sin Bloqueo,4278936,1,PATRICI,GODIVA,LOISELLE,DUNSTAN,INGRESO,2009-01,2009-01
GH1,Magia,2003-01,411022,S,BLOQUEO POR NO INSCRIPCION,8533883,6,NAIS,ARTEMIO,MERA,OYARZO,QUINTO AÑO - EGRESO,2008-01,2008-01
HP1,Magia,1989-01,537789,S,ALUMNO CON DEUDA MOROSA,18344475,2,ANGELIC,MAIKOL,GIANNINI,MARROQUIN,SEGUNDO AÑO,1992-01,1995-02
HP1,Magia,1992-01,559496,S,ALUMNO(A) TITULADO(A),11981108,4,ERIKSON,YASMIN,ARIAS,CARRENO,INGRESO,1992-01,2000-01
PH2,Magia,2005-01,638023,N,Sin Bloqueo,21763816,0,DANTON,LÍA,HUAIQUILAF,TURPIE,LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES,2017-01,2017-01
HP1,Magia,1997-01,454462,S,BLOQUEO POR NO INSCRIPCION,22494760,3,KAORY,HUMBERT,MAURO,HERVIAS,INGRESO,1997-01,1998-02
HP1,Magia,1995-01,372825,S,BLOQUEO POR NO INSCRIPCION,4653066,4,RAMON,YANINA,URQUIOLA,ELGARRISTA,INGRESO,1995-01,1996-01
HW1,Magia,2004-01,444537,S,ALUMNO CON DEUDA MOROSA,22877938,K,ANDREINA,IRENE,GATICA,CATALÁ,QUINTO AÑO - EGRESO,2008-01,2008-01
HW2,Magia,2007-01,650640,S,ALUMNO LICENCIADO,19063410,2,CASANDRA,MARGGORIT,ROLDÁN,ZEPEDA,LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES,2013-01,2013-01
HW1,Magia,2002-01,462025,S,ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO,7368861,0,MARLON,MARIANELA,KLIMPEL,PALMA,INGRESO,2002-01,2004-01
HP1,Magia,1995-01,586905,S,BLOQUEO POR NO INSCRIPCION,15691111,9,NOHEMI,CHERRI,RICCARDI,PERALTA,INGRESO,1995-01,1998-01
HP1,Magia,1991-01,413540,S,ALUMNO EGRESADO,20375258,6,CAMILA,EDGAR,DEUTELMOSER,CABEZA,INGRESO,1991-01,1999-01
HP1,Magia,2002-01,587961,S,BLOQUEO POR NO INSCRIPCION,20505081,1,EDUAR,RAÚL,MARDONES,RODO,INGRESO,2002-01,2002-02
HW2,Magia,2006-01,405270,S,ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO,20410570,4,BEATRIZ,BENEDICTO,GUERMAN,ESPERGUEL,INGRESO,2006-01,2006-02
HW1,Magia,2003-01,482070,S,ALUMNO CON DEUDA MOROSA,19212308,4,DOYMA,KATHLEEN,VILIA,ROSAS,INGRESO,2003-01,2004-01
HW2,Magia,2003-01,395363,S,ALUMNO CON DEUDA MOROSA,18944127,4,ALBÁN,RENEE,VARAS,LEVY,INGRESO,2006-01,2006-02
HW2,Magia,2005-01,428036,S,BLOQUEO POR NO INSCRIPCION,4923491,2,STEPHANIA,DIRCEN,AIYELEF,ESCOBAR,2 SEMESTRE,2006-02,2006-02
HW2,Magia,2010-01,542357,N,Sin Bloqueo,17656107,6,ALFRED,MITZY,ÁVILA,IRIARTE,LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES,2019-02,2019-02
HP1,Magia,1987-01,629845,S,BLOQUEO POR NO INSCRIPCION,11724064,4,JULIETTE,ISABEL,PAINEFIL,MURUA,PRIMER AÑO,1988-01,1990-01
PH2,Magia,2007-01,551105,S,ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO,4306088,1,LUCYNEIDE,SANDY,PUMARINO,PEÑAILILLO,2 SEMESTRE,2009-02,2010-02
PH2,Magia,2006-01,462076,N,Sin Bloqueo,23859731,4,HÉCTOR,DELAPAZ,MANQUIÁN,COAHILA,LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES,2018-02,2018-02
HP1,Magia,1989-01,486827,S,BLOQUEO POR NO INSCRIPCION,8940790,0,CECILIA,Yenko,GAYMER,ACUNIS,QUINTO AÑO- EGRESO,1995-01,1995-01
